accel_x_mean,accel_x_min,accel_x_max,accel_y_mean,accel_y_min,accel_y_max,accel_z_mean,accel_z_min,accel_z_max,accel_sma,accel_ai,gyro_x_mean,gyro_x_min,gyro_x_max,gyro_y_mean,gyro_y_min,gyro_y_max,gyro_z_mean,gyro_z_min,gyro_z_max,gyro_sma,gyro_ai,bucket_bin,activity,activity_code,bucket_samples
-2881.38,-11836,3168,3732.78,-696,16608,-145.5,-5628,6264,8890.26,5818.466155541362,312.99,-5280,5594,382.6,-4834,4232,-336.89,-2379,3477,4303.34,2857.6432660775663,316,Jogging,0,100
-2680.8,-9840,1796,3103.36,-804,15370,-284.44,-9530,6610,7590.56,4958.421411650346,-85.53,-3991,6629,-316.86,-5942,3907,168.06,-2690,2840,3829.4300000000003,2553.427120234167,318,Jogging,0,100
-2789.1,-9522,716,3518.0,676,11578,-17.0,-4190,5576,7352.22,4972.092123878648,-948.51,-4611,2302,1349.66,-3005,5414,-598.94,-2167,783,4151.09,2760.8171482014823,319,Jogging,0,100
-2477.02,-4106,-748,3273.52,2270,4574,12.62,-1844,1308,6287.12,4230.475845210243,32.48,-1549,1747,-34.14,-1289,1166,-23.41,-443,592,1058.79,724.460555702315,320,Jogging,0,100
-2556.12,-2724,-2444,3228.74,3128,3310,91.2,-52,202,5879.54,4119.854944318331,-35.4,-230,110,66.07,-23,266,-6.83,-61,53,158.22,105.9028629188332,321,Standing,3,100
-2590.56,-2698,-2444,3193.8,3098,3306,-10.34,-202,134,5836.38,4113.320799125709,49.23,-3,138,8.2,-86,97,-16.96,-47,5,109.97,72.34323976291975,322,Standing,3,100
-2600.3,-2770,-2428,3176.22,3044,3352,-142.1,-312,-18,5918.62,4108.788980650959,5.87,-111,150,20.82,-190,148,11.94,-34,59,114.99000000000001,78.29204036974636,323,Standing,3,100
-2558.86,-2706,-2460,3224.58,3122,3334,-59.74,-258,94,5855.38,4117.947439436332,3.48,-108,100,-23.54,-131,40,3.31,-36,40,75.57000000000001,52.58051515886183,324,Standing,3,100
-2544.56,-2692,-2438,3235.44,3086,3306,-6.94,-84,74,5812.3,4116.738066118403,-6.17,-69,49,14.84,-66,98,2.51,-18,36,63.54,43.33563995677747,325,Standing,3,100
-2525.72,-2662,-2364,3242.32,3128,3364,49.18,-230,472,5838.22,4111.989423475446,3.0,-168,186,10.59,-128,266,3.7,-69,168,78.33,53.209773405475396,326,Standing,3,100
